CLASS,Level,SKILL_NAME,"Silver Oaks International School Kommadi, Visakhapatnam",National Average
3,Analytical Skill,Analyses and infers hidden ideas,52.2727431818,46.6838612852483
3,Analytical Skill,Interprets the lines of a poem,37.1212,47.36405748849699
3,Analytical Skill,Understands organisation and context of the passage,58.1818386364,45.876844146588056
3,Analytical Skill,Understands the usage of grammar concepts,56.0606204545,50.16272489321222
3,Core Skill,Deduces word meanings from contextual clues,50.7575590909,49.778948455203626
3,Core Skill,Identifies and recalls direct facts in the passage,57.3863795455,51.40292927687378
3,Core Skill,"Identifies synonyms, antonyms and other words",52.2727227273,48.0730374285666
3,Core Skill,Knows correct spellings and phonics in words,28.4091,44.58063493116428
3,Core Skill,Knows punctuation and sentence formation,50.5681636364,48.16947462439489
4,Analytical Skill,Analyses and infers hidden ideas,55.7143,49.267040515521884
4,Analytical Skill,Interprets the lines of a poem,42.85715,48.090968548254445
4,Analytical Skill,Understands organisation and context of the passage,57.65305,49.78479498195184
4,Analytical Skill,Understands the usage of grammar concepts,42.2619,46.66695649520425
4,Core Skill,Deduces word meanings from contextual clues,49.10715,49.6941623291444
4,Core Skill,Identifies and recalls direct facts in the passage,52.9762,53.05708209771903
4,Core Skill,"Identifies synonyms, antonyms and other words",53.5714,49.69593183571787
4,Core Skill,Identifies the main idea and purpose of the passage,36.90475,47.58559658950717
4,Core Skill,Knows correct spellings and phonics in words,51.1905,48.52512485728332
4,Core Skill,Knows punctuation and sentence formation,54.2857,51.06387737225052
5,Analytical Skill,Analyses and infers hidden ideas,60.0732897436,50.515680477742066
5,Analytical Skill,Interprets the lines of a poem,41.8803487179,50.769640514966454
5,Analytical Skill,Understands organisation and context of the passage,66.0256538462,47.94090663777768
5,Analytical Skill,Understands the usage of grammar concepts,49.5726666667,48.2731309835515
5,Core Skill,Deduces word meanings from contextual clues,40.3846282051,50.49663679274824
5,Core Skill,Identifies and recalls direct facts in the passage,52.9914179487,50.44107411830269
5,Core Skill,"Identifies synonyms, antonyms and other words",47.1794641026,49.13746109564056
5,Core Skill,Identifies the main idea and purpose of the passage,51.7948871795,47.12446919457881
5,Core Skill,Knows correct spellings and phonics in words,56.8376307692,47.817798633124475
5,Core Skill,Knows punctuation and sentence formation,42.9487128205,50.8276078912701
6,Analytical Skill,Analyses characters and situations,51.0526105263,48.14941745386299
6,Analytical Skill,Infers using contextual clues and prior knowledge,48.0263368421,45.79537078139259
6,Analytical Skill,Interprets the lines of a poem,62.2807157895,48.52570756697335
6,Analytical Skill,"Understands idioms, proverbs and figures of speech",62.4999789474,45.38142716949658
6,Analytical Skill,Understands organisation and context of the passage,48.4210473684,46.83617063000594
6,Analytical Skill,Understands the usage of grammar concepts,35.0877210526,46.28066377188061
6,Core Skill,Deduces word meanings from contextual clues,61.4035421053,48.95840738075329
6,Core Skill,Identifies and recalls direct facts in the passage,55.2631368421,50.67348722609017
6,Core Skill,"Identifies synonyms, antonyms and other words",44.7368368421,47.748206665169384
6,Core Skill,Identifies the main idea and purpose of the passage,57.8947473684,45.91075694820505
6,Core Skill,Knows correct spellings and phonics in words,40.5263368421,45.4498821877189
6,Core Skill,Knows punctuation and sentence formation,38.3040947368,43.98392245911137
7,Analytical Skill,Analyses characters and situations,44.1378931034,48.49249184907589
7,Analytical Skill,Infers using contextual clues and prior knowledge,42.2413551724,47.19422491644009
7,Analytical Skill,"Registers moods, tones and emotions",50.5747413793,47.75391217598829
7,Analytical Skill,"Understands idioms, proverbs and figures of speech",42.5287172414,44.20792998757246
7,Analytical Skill,Understands organisation and context of the passage,46.2068758621,45.933376348338115
7,Analytical Skill,Understands the usage of grammar concepts,40.996137931,47.541660998952054
7,Core Skill,Deduces word meanings from contextual clues,52.7093517241,46.31459639476778
7,Core Skill,Identifies and recalls direct facts in the passage,41.3793103448,49.134315620528135
7,Core Skill,"Identifies synonyms, antonyms and other words",40.8046,45.571440442235726
7,Core Skill,Identifies the main idea and purpose of the passage,51.7241551724,47.58283152158508
7,Core Skill,Knows punctuation and sentence formation,28.4482827586,44.71726830526468
8,Analytical Skill,Analyses characters and situations,53.6842,47.60370053343227
8,Analytical Skill,Infers using contextual clues and prior knowledge,63.1579,47.16368182337015
8,Analytical Skill,"Registers moods, tones and emotions",70.1754,45.02952183311057
8,Analytical Skill,"Understands idioms, proverbs and figures of speech",54.386,45.15565929408451
8,Analytical Skill,Understands organisation and context of the passage,44.2105,44.91790127094211
8,Analytical Skill,Understands the usage of grammar concepts,49.1228,48.1581688969184
8,Core Skill,Deduces word meanings from contextual clues,43.8596,47.504000150963385
8,Core Skill,Identifies and recalls direct facts in the passage,48.1203,52.30588240813198
8,Core Skill,"Identifies synonyms, antonyms and other words",55.6391,44.919302428145116
8,Core Skill,Identifies the main idea and purpose of the passage,68.4211,46.28936205091433
8,Core Skill,Knows punctuation and sentence formation,36.1842,45.49274779472903
