,Month,Per Student Monthly Usage (Mins),Login Percentage,Total Monthly LoginTime,Active Students (Monthly),Activated Students
0,April 2025,34.7,30,29356.2,254,846
9,May 2025,63.3,40.2,53551.799999999996,340,846
7,June 2025,106.6,77.9,90183.59999999999,659,846
6,July 2025,220.7,79.1,186712.19999999998,669,846
2,August 2025,186.1,67,157440.6,567,846
12,September 2025,120.3,57,101773.8,482,846
11,October 2025,128.4,74,108626.40000000001,626,846
10,November 2025,84.2,54,71233.2,457,846
3,December 2025,133.4,62.8,112856.40000000001,531,846
5,January 2026,70.4,43.6,59558.4,369,846
4,February 2026,41.3,31.6,34939.799999999996,267,846
8,March 2026,13.9,20.7,11759.4,175,846
1,April 2026,0.2,1.1,169.20000000000002,9,846
