CLASS,Level,SKILL_NAME,"Silver Oaks High School, Visakhapatnam",National Average
3,,"Complex analysis, data interpretation, integrating different concepts",66.0194262136,48.43991881249622
3,Analytical Skill,Hypothesis formulation or prediction of outcome,60.6795902913,42.3177039382095
3,Analytical Skill,"Representing, relating or explaining scientific processes or observed phenomena",37.216838835,48.98668770016469
3,Core Skill,Classification/comparison of organisms/processes; giving examples,51.2621631068,55.032528418825834
3,Core Skill,"Definition or description of scientific terms, organisms or materials",41.5048757282,58.2559560259129
3,Core Skill,"Extraction, translation and application of knowledge or information",52.7507970874,49.06654131090581
3,Core Skill,"Knowledge of use of scientific instruments, tools and procedures",49.7087475728,52.5576402223789
3,Core Skill,Recollection or recognition of science facts and concepts,39.482207767,55.893058404559866
4,,"Complex analysis, data interpretation, integrating different concepts",42.0167705882,44.76158577063434
4,Analytical Skill,Hypothesis formulation or prediction of outcome,26.4705907563,44.017716043800434
4,Analytical Skill,"Representing, relating or explaining scientific processes or observed phenomena",49.8599394958,46.922849033368074
4,Core Skill,Classification/comparison of organisms/processes; giving examples,50.4201638655,53.77840663128577
4,Core Skill,"Definition or description of scientific terms, organisms or materials",62.1848966387,56.148465169996285
4,Core Skill,"Extraction, translation and application of knowledge or information",56.022412605,48.70221199846285
4,Core Skill,"Knowledge of use of scientific instruments, tools and procedures",63.8655302521,54.42537055279506
4,Core Skill,Recollection or recognition of science facts and concepts,43.5294235294,57.93499099318223
5,Analytical Skill,Analysis of information to identify trends or properties,62.7118474576,48.88117628433291
5,Analytical Skill,Hypothesis formulation or prediction of outcome,59.5339050847,44.054559510796295
5,Analytical Skill,Integrating different concepts or information for decision making,49.1525355932,44.02753105981855
5,Analytical Skill,"Representing, relating or explaining scientific processes or observed phenomena",29.3785415254,45.82050536665165
5,Core Skill,Classification/comparison of organisms/processes; giving examples,41.355920339,52.527582067896816
5,Core Skill,"Definition or description of scientific terms, organisms or materials",53.9548016949,54.376873647778424
5,Core Skill,"Extraction, translation and application of knowledge or information",34.4632762712,49.67132651867187
5,Core Skill,"Knowledge of use of scientific instruments, tools and procedures",49.9999932203,50.86450648928877
5,Core Skill,Recollection or recognition of science facts and concepts,59.8870110169,53.31942634574782
6,Analytical Skill,Advanced or complex data representation or interpretation,43.0555416667,45.20429550418288
6,Analytical Skill,Analysis of information to identify trends or properties,41.2499833333,44.456656229022144
6,Analytical Skill,Hypothesis formulation; design of apparatus or experiment,65.6250125,40.92316794932989
6,Analytical Skill,Integrating different concepts or information for decision making,42.4479052083,44.32154514576571
6,Analytical Skill,"Representing, relating or explaining scientific processes or observed phenomena",49.826378125,43.38209515399634
6,Core Skill,Classification/comparison of organisms/processes; giving examples,63.541640625,46.5920272390981
6,Core Skill,"Definition or description of scientific terms, organisms or materials",53.124990625,48.949559802969254
6,Core Skill,"Extraction, translation and application of knowledge or information",53.1250145833,47.05628963091558
6,Core Skill,"Knowledge of use of scientific instruments, tools and procedures",54.166659375,49.90553035537656
6,Core Skill,Recollection or recognition of science facts and concepts,53.1250072917,46.936866352338654
7,Analytical Skill,Advanced or complex data representation or interpretation,31.8066343511,40.338838340069714
7,Analytical Skill,Analysis of information to identify trends or properties,32.366419084,41.35435487716802
7,Analytical Skill,Hypothesis formulation; design of apparatus or experiment,29.6437572519,40.42568764701094
7,Analytical Skill,Integrating different concepts or information for decision making,33.8931022901,40.03253918247104
