CLASS,Level,SKILL_NAME,"Silver Oaks High School, Visakhapatnam",National Average
3,Analytical Skill,Analyses and infers hidden ideas,56.310692233,46.6838612852483
3,Analytical Skill,Interprets the lines of a poem,50.4854368932,47.36405748849699
3,Analytical Skill,Understands organisation and context of the passage,66.0194116505,45.876844146588056
3,Analytical Skill,Understands the usage of grammar concepts,68.6084339806,50.16272489321222
3,Core Skill,Deduces word meanings from contextual clues,60.1941912621,49.778948455203626
3,Core Skill,Identifies and recalls direct facts in the passage,74.0291223301,51.40292927687378
3,Core Skill,"Identifies synonyms, antonyms and other words",62.1359378641,48.0730374285666
3,Core Skill,Knows correct spellings and phonics in words,36.1650601942,44.58063493116428
3,Core Skill,Knows punctuation and sentence formation,56.7961048544,48.16947462439489
4,Analytical Skill,Analyses and infers hidden ideas,72.6050378151,49.26704051552188
4,Analytical Skill,Interprets the lines of a poem,54.9019512605,48.090968548254445
4,Analytical Skill,Understands organisation and context of the passage,70.9483697479,49.78479498195185
4,Analytical Skill,Understands the usage of grammar concepts,60.5042084034,46.66695649520425
4,Core Skill,Deduces word meanings from contextual clues,69.3277411765,49.6941623291444
4,Core Skill,Identifies and recalls direct facts in the passage,68.0672193277,53.05708209771903
4,Core Skill,"Identifies synonyms, antonyms and other words",74.1176319328,49.69593183571787
4,Core Skill,Identifies the main idea and purpose of the passage,59.1036394958,47.58559658950717
4,Core Skill,Knows correct spellings and phonics in words,64.2857302521,48.52512485728332
4,Core Skill,Knows punctuation and sentence formation,73.2773235294,51.06387737225052
5,Analytical Skill,Analyses and infers hidden ideas,62.4697483051,50.515680477742066
5,Analytical Skill,Interprets the lines of a poem,49.9999923729,50.769640514966454
5,Analytical Skill,Understands organisation and context of the passage,73.3050847458,47.94090663777768
5,Analytical Skill,Understands the usage of grammar concepts,53.2485966102,48.2731309835515
5,Core Skill,Deduces word meanings from contextual clues,55.0847576271,50.49663679274824
5,Core Skill,Identifies and recalls direct facts in the passage,49.576259322,50.44107411830269
5,Core Skill,"Identifies synonyms, antonyms and other words",61.5254237288,49.13746109564057
5,Core Skill,Identifies the main idea and purpose of the passage,49.6610135593,47.12446919457881
5,Core Skill,Knows correct spellings and phonics in words,62.5706262712,47.817798633124475
5,Core Skill,Knows punctuation and sentence formation,41.3135457627,50.8276078912701
6,Analytical Skill,Analyses characters and situations,54.7916572917,48.14941745386299
6,Analytical Skill,Infers using contextual clues and prior knowledge,54.6875104167,45.79537078139259
6,Analytical Skill,Interprets the lines of a poem,69.4444614583,48.52570756697335
6,Analytical Skill,"Understands idioms, proverbs and figures of speech",69.27083125,45.38142716949658
6,Analytical Skill,Understands organisation and context of the passage,53.125009375,46.83617063000594
6,Analytical Skill,Understands the usage of grammar concepts,48.4375166667,46.28066377188061
6,Core Skill,Deduces word meanings from contextual clues,66.3194291667,48.95840738075329
6,Core Skill,Identifies and recalls direct facts in the passage,59.2261875,50.67348722609017
6,Core Skill,"Identifies synonyms, antonyms and other words",52.430559375,47.748206665169384
6,Core Skill,Identifies the main idea and purpose of the passage,64.2361052083,45.91075694820505
6,Core Skill,Knows correct spellings and phonics in words,47.500003125,45.4498821877189
