CONTAINER_ID,CONTENT_ID,QNO,ORGANISATION_NAME,ORGANISATION_CITY,SCHOOL_ID,CLASS,SUBJECT_ID,CORRECT_ANSWER,SKILL_ID,SKILL_NAME,TOTAL_STUDENTS,PERCENTAGE_SELECTING_1,PERCENTAGE_SELECTING_2,PERCENTAGE_SELECTING_3,PERCENTAGE_SELECTING_4,PERCENTAGE_SKIPPED,PERCENTAGE_INVALID,NATIONAL_AVG_PERFORMANCE,NATIONAL_OPTION_STATS,NATIONAL_TOTAL_STUDENTS
A000826,Q104968,1,"Delhi Public School, Bulandshahr","NH 91, Phase 2, YamunapuramBulandshahrYamunapuram,,Bulandshahr,Uttar Pradesh",3254316,5,3,3,S00099,Recollection or recognition of science facts and concepts,309,5.5016,3.2362,86.4078,4.8544,0.0,0.0,0.888103,"{
  ""1"": 661,
  ""2"": 469,
  ""3"": 14699,
  ""4"": 686,
  ""invalid selection"": 19,
  ""skip"": 17
}",16551
A000826,Q104968,1,"Delhi Public School, Faridabad","Sector 19, Mathura Road,FaridabadSector 19, Mathura Road,,Faridabad,Haryana",234775,5,3,3,S00099,Recollection or recognition of science facts and concepts,345,3.4783,1.7391,92.7536,1.4493,0.0,0.5797,0.888103,"{
  ""1"": 661,
  ""2"": 469,
  ""3"": 14699,
  ""4"": 686,
  ""invalid selection"": 19,
  ""skip"": 17
}",16551
A000826,Q104968,1,"Delhi Public School, Greater Noida","Sector Gamma-II, Dist. Gautam Budh Nagar.Gautam Budh NagarSector Gamma-II, Dist. Gautam Budh Nagar.,Greater Noida,Uttar Pradesh",265162,5,3,3,S00099,Recollection or recognition of science facts and concepts,371,2.1563,1.8868,89.7574,6.1995,0.0,0.0,0.888103,"{
  ""1"": 661,
  ""2"": 469,
  ""3"": 14699,
  ""4"": 686,
  ""invalid selection"": 19,
  ""skip"": 17
}",16551
A000826,Q104968,1,"Delhi Public School, Knowledge Park -V","DPS, Knowledge Park -V Plot No 224 & 228 Knowledge Park-V, DPSS HRDC, (Opp. Major Rohit Chowk), Greater Noida (west) U.P. Pin: 201306",5016187,5,3,3,S00099,Recollection or recognition of science facts and concepts,337,0.8902,2.0772,83.9763,13.0564,0.0,0.0,0.888103,"{
  ""1"": 661,
  ""2"": 469,
  ""3"": 14699,
  ""4"": 686,
  ""invalid selection"": 19,
  ""skip"": 17
}",16551
A000826,Q104968,1,"Delhi Public School, Mathura Road","Mathura Road,Sunder Nagar, ,New DelhiMathura Road, Sunder Nagar, ,New Delhi,Delhi - 110003,New Delhi,Delhi",2449,5,3,3,S00099,Recollection or recognition of science facts and concepts,336,4.4643,3.869,87.5,4.1667,0.0,0.0,0.888103,"{
  ""1"": 661,
  ""2"": 469,
  ""3"": 14699,
  ""4"": 686,
  ""invalid selection"": 19,
  ""skip"": 17
}",16551
A000826,Q104968,1,"Delhi Public School, Navi Mumbai","Palm Beach RoadSector - 52 NerulPalm Beach Road Sector - 52 Nerul,Navi Mumbai,Maharashtra",5018234,5,3,3,S00099,Recollection or recognition of science facts and concepts,309,0.9709,1.6181,92.8803,4.5307,0.0,0.0,0.888103,"{
  ""1"": 661,
  ""2"": 469,
  ""3"": 14699,
  ""4"": 686,
  ""invalid selection"": 19,
  ""skip"": 17
}",16551
A000826,Q104968,1,"Delhi Public School, R.K. Puram","Sector-XII, R.K. Puram, ,New Delhi,Delhi - 110022New Delhi,Delhi - 110022Sector-XII, R.K. Puram, ,New Delhi,Delhi - 110022,New Delhi,DELHI",19028,5,3,3,S00099,Recollection or recognition of science facts and concepts,414,2.657,2.8986,89.372,4.1063,0.4831,0.4831,0.888103,"{
  ""1"": 661,
  ""2"": 469,
  ""3"": 14699,
  ""4"": 686,
  ""invalid selection"": 19,
  ""skip"": 17
}",16551
A000826,Q104968,1,"Delhi Public School, Rohini","Sector-24, Phase III, Rohini,Rohini, Sector-24, Phase III, Rohini, New Delhi-110085,Delhi,Delhi",5014895,5,3,3,S00099,Recollection or recognition of science facts and concepts,190,6.8421,2.1053,87.8947,3.1579,0.0,0.0,0.888103,"{
  ""1"": 661,
  ""2"": 469,
  ""3"": 14699,
  ""4"": 686,
  ""invalid selection"": 19,
  ""skip"": 17
}",16551
A000826,Q104968,1,"Delhi Public School, Sec 122","Sector 122, Block CNoidaSector 122, Block C,Noida,Uttar Pradesh",5017383,5,3,3,S00099,Recollection or recognition of science facts and concepts,125,3.2,0.8,95.2,0.8,0.0,0.0,0.888103,"{
  ""1"": 661,
  ""2"": 469,
  ""3"": 14699,
  ""4"": 686,
  ""invalid selection"": 19,
  ""skip"": 17
}",16551
A000826,Q104968,1,"Delhi Public School, Sector-30, Noida","Sector 30NoidaSector 30,Noida,Uttar Pradesh",5018233,5,3,3,S00099,Recollection or recognition of science facts and concepts,343,0.8746,0.8746,97.0845,0.8746,0.2915,0.0,0.888103,"{
  ""1"": 661,
  ""2"": 469,
  ""3"": 14699,
  ""4"": 686,
  ""invalid selection"": 19,
  ""skip"": 17
}",16551
A000826,Q104968,1,"Delhi Public School, Vasant Kunj","Sector - C, Pocket -5Vasant KunjSector - C, Pocket -5, Vasant Kunj,,Delhi,Delhi",353776,5,3,3,S00099,Recollection or recognition of science facts and concepts,266,0.3759,1.5038,96.2406,1.8797,0.0,0.0,0.888103,"{
  ""1"": 661,
  ""2"": 469,
  ""3"": 14699,
  ""4"": 686,
  ""invalid selection"": 19,
  ""skip"": 17
}",16551
A000826,Q71358,2,"Delhi Public School, Bulandshahr","NH 91, Phase 2, YamunapuramBulandshahrYamunapuram,,Bulandshahr,Uttar Pradesh",3254316,5,3,4,S00090,Analysis of information to identify trends or properties,309,21.6828,10.6796,2.9126,64.7249,0.0,0.0,0.679596,"{
  ""1"": 2818,
  ""2"": 1689,
  ""3"": 704,
  ""4"": 11248,
  ""invalid selection"": 43,
  ""skip"": 49
}",16551
A000826,Q71358,2,"Delhi Public School, Faridabad","Sector 19, Mathura Road,FaridabadSector 19, Mathura Road,,Faridabad,Haryana",234775,5,3,4,S00090,Analysis of information to identify trends or properties,345,17.6812,9.5652,3.7681,68.1159,0.5797,0.2899,0.679596,"{
  ""1"": 2818,
  ""2"": 1689,
  ""3"": 704,
  ""4"": 11248,
  ""invalid selection"": 43,
  ""skip"": 49
}",16551
A000826,Q71358,2,"Delhi Public School, Greater Noida","Sector Gamma-II, Dist. Gautam Budh Nagar.Gautam Budh NagarSector Gamma-II, Dist. Gautam Budh Nagar.,Greater Noida,Uttar Pradesh",265162,5,3,4,S00090,Analysis of information to identify trends or properties,371,14.8248,7.8167,3.7736,73.0458,0.0,0.5391,0.679596,"{
  ""1"": 2818,
  ""2"": 1689,
  ""3"": 704,
  ""4"": 11248,
  ""invalid selection"": 43,
  ""skip"": 49
}",16551
A000826,Q71358,2,"Delhi Public School, Knowledge Park -V","DPS, Knowledge Park -V Plot No 224 & 228 Knowledge Park-V, DPSS HRDC, (Opp. Major Rohit Chowk), Greater Noida (west) U.P. Pin: 201306",5016187,5,3,4,S00090,Analysis of information to identify trends or properties,337,16.9139,5.638,2.3739,74.4807,0.0,0.5935,0.679596,"{
  ""1"": 2818,
  ""2"": 1689,
  ""3"": 704,
  ""4"": 11248,
  ""invalid selection"": 43,
  ""skip"": 49
}",16551
A000826,Q71358,2,"Delhi Public School, Mathura Road","Mathura Road,Sunder Nagar, ,New DelhiMathura Road, Sunder Nagar, ,New Delhi,Delhi - 110003,New Delhi,Delhi",2449,5,3,4,S00090,Analysis of information to identify trends or properties,336,22.3214,9.2262,7.1429,60.7143,0.2976,0.2976,0.679596,"{
  ""1"": 2818,
  ""2"": 1689,
  ""3"": 704,
  ""4"": 11248,
  ""invalid selection"": 43,
  ""skip"": 49
}",16551
A000826,Q71358,2,"Delhi Public School, Navi Mumbai","Palm Beach RoadSector - 52 NerulPalm Beach Road Sector - 52 Nerul,Navi Mumbai,Maharashtra",5018234,5,3,4,S00090,Analysis of information to identify trends or properties,309,19.4175,7.767,4.2071,68.6084,0.0,0.0,0.679596,"{
  ""1"": 2818,
  ""2"": 1689,
  ""3"": 704,
  ""4"": 11248,
  ""invalid selection"": 43,
  ""skip"": 49
}",16551
A000826,Q71358,2,"Delhi Public School, R.K. Puram","Sector-XII, R.K. Puram, ,New Delhi,Delhi - 110022New Delhi,Delhi - 110022Sector-XII, R.K. Puram, ,New Delhi,Delhi - 110022,New Delhi,DELHI",19028,5,3,4,S00090,Analysis of information to identify trends or properties,414,17.8744,9.6618,4.5894,66.9082,0.4831,0.4831,0.679596,"{
  ""1"": 2818,
  ""2"": 1689,
  ""3"": 704,
  ""4"": 11248,
  ""invalid selection"": 43,
  ""skip"": 49
}",16551
A000826,Q71358,2,"Delhi Public School, Rohini","Sector-24, Phase III, Rohini,Rohini, Sector-24, Phase III, Rohini, New Delhi-110085,Delhi,Delhi",5014895,5,3,4,S00090,Analysis of information to identify trends or properties,190,14.2105,11.5789,7.3684,66.8421,0.0,0.0,0.679596,"{
  ""1"": 2818,
  ""2"": 1689,
  ""3"": 704,
  ""4"": 11248,
  ""invalid selection"": 43,
  ""skip"": 49
}",16551
A000826,Q71358,2,"Delhi Public School, Sec 122","Sector 122, Block CNoidaSector 122, Block C,Noida,Uttar Pradesh",5017383,5,3,4,S00090,Analysis of information to identify trends or properties,125,17.6,7.2,4.8,70.4,0.0,0.0,0.679596,"{
  ""1"": 2818,
  ""2"": 1689,
  ""3"": 704,
  ""4"": 11248,
  ""invalid selection"": 43,
  ""skip"": 49
}",16551
