CLASS,Level,SKILL_NAME,"Silver Oaks International School Kommadi, Visakhapatnam",National Average
3,,"Complex analysis, data interpretation, integrating different concepts",78.51854,48.43991881249622
3,Analytical Skill,Hypothesis formulation or prediction of outcome,78.3333533333,42.3177039382095
3,Analytical Skill,"Representing, relating or explaining scientific processes or observed phenomena",71.8518866667,48.98668770016469
3,Core Skill,Classification/comparison of organisms/processes; giving examples,51.55554,55.032528418825834
3,Core Skill,"Definition or description of scientific terms, organisms or materials",58.88888,58.2559560259129
3,Core Skill,"Extraction, translation and application of knowledge or information",74.8148333333,49.06654131090581
3,Core Skill,"Knowledge of use of scientific instruments, tools and procedures",51.1111066667,52.5576402223789
3,Core Skill,Recollection or recognition of science facts and concepts,30.37038,55.893058404559866
4,,"Complex analysis, data interpretation, integrating different concepts",32.14285,44.76158577063434
4,Analytical Skill,Hypothesis formulation or prediction of outcome,21.42855,44.01771604380044
4,Analytical Skill,"Representing, relating or explaining scientific processes or observed phenomena",42.2619,46.922849033368074
4,Core Skill,Classification/comparison of organisms/processes; giving examples,38.39285,53.77840663128577
4,Core Skill,"Definition or description of scientific terms, organisms or materials",39.2857,56.148465169996285
4,Core Skill,"Extraction, translation and application of knowledge or information",49.40475,48.70221199846285
4,Core Skill,"Knowledge of use of scientific instruments, tools and procedures",41.9643,54.42537055279506
4,Core Skill,Recollection or recognition of science facts and concepts,37.85715,57.93499099318223
5,Analytical Skill,Analysis of information to identify trends or properties,57.8947,48.881176284332916
5,Analytical Skill,Hypothesis formulation or prediction of outcome,48.6842,44.054559510796295
5,Analytical Skill,Integrating different concepts or information for decision making,40.3509,44.02753105981855
5,Analytical Skill,"Representing, relating or explaining scientific processes or observed phenomena",38.5965,45.82050536665165
5,Core Skill,Classification/comparison of organisms/processes; giving examples,42.10525,52.527582067896816
5,Core Skill,"Definition or description of scientific terms, organisms or materials",45.61405,54.376873647778424
5,Core Skill,"Extraction, translation and application of knowledge or information",36.8421,49.67132651867187
5,Core Skill,"Knowledge of use of scientific instruments, tools and procedures",46.4912,50.86450648928877
5,Core Skill,Recollection or recognition of science facts and concepts,56.14035,53.31942634574782
6,Analytical Skill,Advanced or complex data representation or interpretation,30.7017473684,45.20429550418288
6,Analytical Skill,Analysis of information to identify trends or properties,36.8421157895,44.456656229022144
6,Analytical Skill,Hypothesis formulation; design of apparatus or experiment,48.2456157895,40.92316794932989
6,Analytical Skill,Integrating different concepts or information for decision making,43.4210368421,44.32154514576571
6,Analytical Skill,"Representing, relating or explaining scientific processes or observed phenomena",42.5438736842,43.38209515399634
6,Core Skill,Classification/comparison of organisms/processes; giving examples,52.1052473684,46.5920272390981
6,Core Skill,"Definition or description of scientific terms, organisms or materials",47.3684263158,48.949559802969254
6,Core Skill,"Extraction, translation and application of knowledge or information",42.5438578947,47.05628963091558
6,Core Skill,"Knowledge of use of scientific instruments, tools and procedures",45.3947578947,49.90553035537656
6,Core Skill,Recollection or recognition of science facts and concepts,46.3158,46.936866352338654
7,Analytical Skill,Advanced or complex data representation or interpretation,38.8889,40.338838340069714
7,Analytical Skill,Analysis of information to identify trends or properties,35.33335,41.35435487716802
7,Analytical Skill,Hypothesis formulation; design of apparatus or experiment,32.2222,40.42568764701093
7,Analytical Skill,Integrating different concepts or information for decision making,40,40.03253918247104
7,Analytical Skill,"Representing, relating or explaining scientific processes or observed phenomena",61.6667,44.94664559700626
7,Core Skill,Classification/comparison of organisms/processes; giving examples,23.3333,45.50114534207109
7,Core Skill,"Definition or description of scientific terms, organisms or materials",35.5556,43.360162887677426
7,Core Skill,"Extraction, translation and application of knowledge or information",38,40.984739179195024
7,Core Skill,"Knowledge of use of scientific instruments, tools and procedures",41.11115,45.74843006186361
7,Core Skill,Recollection or recognition of science facts and concepts,32,43.88000588672366
8,Analytical Skill,Advanced or complex data representation or interpretation,19.7368,41.44566914027393
8,Analytical Skill,Analysis of information to identify trends or properties,32.6316,41.260296950803564
8,Analytical Skill,Hypothesis formulation; design of apparatus or experiment,30.7018,40.531267471571375
8,Analytical Skill,Integrating different concepts or information for decision making,23.6842,38.775740265672745
8,Analytical Skill,"Representing, relating or explaining scientific processes or observed phenomena",31.5789,44.9821509291927
8,Core Skill,Classification/comparison of organisms/processes; giving examples,38.5965,43.36607882929972
8,Core Skill,"Definition or description of scientific terms, organisms or materials",43.8596,42.895205061743404
8,Core Skill,"Extraction, translation and application of knowledge or information",31.5789,40.17980490806282
8,Core Skill,"Knowledge of use of scientific instruments, tools and procedures",36.8421,43.74096626901797
8,Core Skill,Recollection or recognition of science facts and concepts,22.1053,40.01379295723117
